Detector,Descriptor,ImgIndex,DetectionTime(ms),KeypointsFound,NeighborhoodSize,ExtractionTime(ms),Matches
FAST,BRIEF,2,1.32058,404,7,0.579583,332,
FAST,BRIEF,3,1.32763,423,7,0.527875,299,
FAST,BRIEF,4,1.32012,386,7,0.598875,331,
FAST,BRIEF,5,1.33021,414,7,0.550167,276,
FAST,BRIEF,6,1.26887,418,7,0.509042,327,
FAST,BRIEF,7,1.28779,406,7,0.496875,324,
FAST,BRIEF,8,1.47796,396,7,0.436667,315,
FAST,BRIEF,9,1.27754,401,7,0.445792,307,
FAST,BRISK,0,2.00129,419,7,10.1145,
FAST,BRISK,1,1.23392,427,7,9.67792,256,
FAST,BRISK,2,1.21771,404,7,8.91367,243,
FAST,BRISK,3,1.26925,423,7,8.7445,241,
FAST,BRISK,4,1.21412,386,7,8.58596,239,
FAST,BRISK,5,1.31167,414,7,8.69763,215,
FAST,BRISK,6,1.45888,418,7,8.72717,251,
FAST,BRISK,7,1.23279,406,7,8.64704,248,
FAST,BRISK,8,1.46996,396,7,8.61271,243,
FAST,BRISK,9,1.26263,401,7,8.64608,247,
FAST,ORB,0,1.57679,419,7,0.825667,
FAST,ORB,1,1.30804,427,7,0.841292,306,
FAST,ORB,2,1.56475,404,7,0.810708,314,
FAST,ORB,3,1.30038,423,7,0.844875,295,
FAST,ORB,4,1.48679,386,7,0.810042,318,
FAST,ORB,5,1.3155,414,7,0.825042,284,
FAST,ORB,6,1.33,418,7,0.832792,312,
FAST,ORB,7,1.325,406,7,0.789583,323,
FAST,ORB,8,2.04767,396,7,0.839625,306,
FAST,ORB,9,1.58354,401,7,0.826208,304,
FAST,FREAK,0,1.56304,419,7,9.36817,
FAST,FREAK,1,1.60112,427,7,9.7605,251,
FAST,FREAK,2,1.28433,404,7,9.41171,250,
FAST,FREAK,3,1.27713,423,7,9.199,228,
FAST,FREAK,4,1.54758,386,7,8.75933,252,
FAST,FREAK,5,1.28683,414,7,8.76783,234,
FAST,FREAK,6,1.42533,418,7,8.61238,269,
FAST,FREAK,7,1.27233,406,7,8.4435,252,
FAST,FREAK,8,1.30946,396,7,8.41879,243,
FAST,FREAK,9,1.49596,401,7,8.4485,246,
FAST,SIFT,0,1.54992,419,7,10.0393,
FAST,SIFT,1,1.35792,427,7,9.83442,316,
FAST,SIFT,2,1.31146,404,7,8.81112,325,
FAST,SIFT,3,1.27029,423,7,8.14987,297,
FAST,SIFT,4,2.36037,386,7,7.94246,311,
FAST,SIFT,5,2.32725,414,7,8.28804,291,
FAST,SIFT,6,1.24354,418,7,7.90362,326,
FAST,SIFT,7,1.30617,406,7,7.92125,315,
FAST,SIFT,8,1.25987,396,7,8.39442,300,
FAST,SIFT,9,1.29783,401,7,8.83333,301,
BRISK,BRIEF,0,50.0158,264,21.5492,0.420875,
BRISK,BRIEF,1,51.9409,282,21.7853,0.444208,178,
BRISK,BRIEF,2,47.1454,282,21.6509,0.356125,205,
BRISK,BRIEF,3,44.6209,277,20.3582,0.37225,185,
BRISK,BRIEF,4,45.2878,297,22.5911,0.367042,179,
BRISK,BRIEF,5,44.8125,279,22.9442,0.534375,183,
BRISK,BRIEF,6,45.1235,289,21.8014,0.359792,195,
BRISK,BRIEF,7,44.3452,272,22.1472,0.348875,207,
BRISK,BRIEF,8,44.2322,266,22.5558,0.352333,189,
BRISK,BRIEF,9,44.6517,254,22.0389,0.347458,183,
BRISK,BRISK,0,48.6517,264,21.5492,8.11775,
BRISK,BRISK,1,45.1974,282,21.7853,8.10896,171,
BRISK,BRISK,2,44.9005,282,21.6509,8.08625,176,
BRISK,BRISK,3,45.628,277,20.3582,8.26529,157,
BRISK,BRISK,4,44.7764,297,22.5911,8.25742,176,
BRISK,BRISK,5,44.6114,279,22.9442,8.09933,174,
BRISK,BRISK,6,44.9259,289,21.8014,10.007,188,
BRISK,BRISK,7,44.3483,272,22.1472,8.10729,173,
BRISK,BRISK,8,44.4102,266,22.5558,8.31963,171,
BRISK,BRISK,9,44.9618,254,22.0389,8.12975,184,
BRISK,ORB,0,48.8973,264,21.5492,2.78946,
BRISK,ORB,1,45.3979,282,21.7853,2.61187,160,
BRISK,ORB,2,45.2454,282,21.6509,2.64525,171,
BRISK,ORB,3,45.1372,277,20.3582,2.61567,157,
BRISK,ORB,4,45.0295,297,22.5911,2.617,170,
BRISK,ORB,5,45.0714,279,22.9442,2.56158,154,
BRISK,ORB,6,44.7078,289,21.8014,2.62575,180,
BRISK,ORB,7,44.3852,272,22.1472,2.57533,171,
BRISK,ORB,8,44.5628,266,22.5558,2.519,175,
BRISK,ORB,9,44.4148,254,22.0389,2.57825,172,
BRISK,FREAK,0,50.1579,264,21.5492,8.65938,
BRISK,FREAK,1,49.2683,282,21.7853,8.03813,160,
BRISK,FREAK,2,45.3347,282,21.6509,8.09713,178,
BRISK,FREAK,3,44.8949,277,20.3582,8.03521,156,
BRISK,FREAK,4,44.9432,297,22.5911,8.589,173,
BRISK,FREAK,5,44.7537,279,22.9442,7.99171,160,
BRISK,FREAK,6,44.7717,289,21.8014,8.09825,183,
BRISK,FREAK,7,44.8706,272,22.1472,8.10179,169,
BRISK,FREAK,8,45.1458,266,22.5558,7.99988,179,
BRISK,FREAK,9,45.0551,254,22.0389,7.96583,168,
BRISK,SIFT,0,48.3915,264,21.5492,12.0602,
BRISK,SIFT,1,45.1457,282,21.7853,12.2749,182,
BRISK,SIFT,2,44.8867,282,21.6509,11.3006,193,
BRISK,SIFT,3,45.0906,277,20.3582,12.3398,169,
BRISK,SIFT,4,45.8535,297,22.5911,13.8022,183,
BRISK,SIFT,5,45.2264,279,22.9442,11.2876,171,
BRISK,SIFT,6,44.7041,289,21.8014,11.385,195,
BRISK,SIFT,7,44.6202,272,22.1472,11.1563,194,
BRISK,SIFT,8,44.8636,266,22.5558,11.652,176,
BRISK,SIFT,9,44.8186,254,22.0389,11.3745,183,
ORB,BRIEF,0,26.5361,92,57.0723,0.360875,
ORB,BRIEF,1,4.62383,102,57.2273,0.237958,49,
ORB,BRIEF,2,4.39687,106,56.4948,0.281833,43,
ORB,BRIEF,3,4.33679,113,55.1436,0.270208,45,
ORB,BRIEF,4,4.47046,109,56.7442,0.261375,59,
ORB,BRIEF,5,4.52438,125,56.6367,0.26075,53,
ORB,BRIEF,6,4.56046,130,56.7683,0.310292,78,
